"genes"	"hypoxia.01"	"hypoxia.02"	"hypoxia.03"	"hypoxia.04"	"normoxia.01"	"normoxia.02"	"normoxia.03"	"normoxia.04"	"hypoxia_avg"	"normoxia_avg"	"log2FC"	"pval"	"qval"	"pi"
"C1orf115"	5.4	3.58	5.63	6.32	3.81	3.77	3.22	4.76	5.23	3.89	0.35	0.053408406227279	0.0906471010818109	0.364926128069445
"C1orf116"	204.64	194.03	148.14	205.43	172.57	180.16	201.71	180.89	188.06	183.83	0.03	0.178552385356216	0.226123381887944	0.0193696358364218
"C1orf122"	50.46	50.43	44.49	60.41	37.99	35.36	34.58	33.37	51.45	35.32	0.53	0.000460074154371473	0.00471605883175848	1.23300301648382
"C1orf127"	0	0	0.04	0	0	0	0	0	0.01	0	0.01	1	1	0
"C1orf131"	10.82	10.76	11.48	12.39	12.87	10.79	16.19	13.66	11.36	13.38	-0.22	0.0278243011857893	0.0600457168173437	-0.268733952577567
"C1orf141"	0	0.21	0.2	0.03	0.13	0.09	0.13	0.11	0.11	0.12	-0.01	1	1	0
"C1orf146"	0.78	0.33	0.8	0.48	0.3	0.59	0.55	0.82	0.6	0.56	0.03	0.311049803164383	0.358816126909536	0.0133538413776656
"C1orf159"	21.9	26.97	27.01	25.92	26.1	29.74	33.44	29.41	25.45	29.67	-0.21	0.0163542611060693	0.0440184766957221	-0.284836648052478
"C1orf162"	1.74	0.81	2.64	1.68	0.46	1.23	0.72	0.86	1.72	0.82	0.58	0.0242636170226679	0.0554446914919526	0.728561216649111
"C1orf167"	0.13	0.08	0.15	0	0.04	0	0	0.06	0.09	0.02	0.09	1	1	0
"C1orf174"	17.99	17.81	27.54	18.8	13.22	13.9	13.99	13.04	20.53	13.54	0.57	0.00099415735266196	0.00760356975248144	1.20782000541333
"C1orf185"	0	0	0	0	0	0	0	0	0	0	0	1	1	0
"C1orf198"	19.37	17.71	23.65	20.84	16.65	14.44	14.8	18.74	20.39	16.16	0.32	0.010874190027483	0.0348473267085835	0.466505770535816
"C1orf21"	12.71	9.75	11.23	11.22	9.11	9.09	10.85	9.39	11.23	9.61	0.2	0.0189781788398473	0.047921119369085	0.263894609199963
"C1orf210"	10.07	11.81	13.61	10.21	14.41	22.62	19.15	18.21	11.43	18.6	-0.66	0.000807115438762066	0.00663910639140745	-1.4374076453524
"C1orf216"	6.36	5.7	5.8	8.29	6.54	9.67	5.37	5.73	6.54	6.83	-0.05	1	1	0
"C1orf226"	5.6	5.75	7.03	8.01	6.85	9.83	9.95	11.77	6.6	9.6	-0.48	0.000503341902721318	0.00495680304202042	-1.10630320194798
"C1orf232"	0	0	0	0	0	0	0	0	0	0	0	1	1	0
"C1orf35"	24.16	25.96	31.07	32.16	21.61	26.14	27.15	24.76	28.34	24.92	0.18	0.0164621941572671	0.0441434001981687	0.243924159210181
"C1orf43"	165.93	192.89	210.24	203.56	157.49	182.44	151.32	156.44	193.16	161.92	0.25	0.0122268442021936	0.0373549375993474	0.356912996183552
"C1orf50"	5.65	6.18	6.87	7.23	5.36	7.07	6.93	7.83	6.48	6.8	-0.06	0.0697302126704918	0.109746873102331	-0.0575764706872455
"C1orf52"	79.89	80.69	99.64	82.37	56.77	58.44	59.72	52.1	85.65	56.76	0.59	4.05564072038703e-05	0.00141642354893871	1.6807960482455
"C1orf53"	3.5	2.93	1.03	2.43	3.51	4.26	2.84	7.33	2.47	4.49	-0.66	0.0867991423919495	0.129094710928897	-0.586800423408238
"C1orf54"	3.74	2.51	2.83	2.81	3.95	2.42	4.44	3.68	2.97	3.62	-0.22	0.132140365611483	0.177861089183328	-0.164982191546821
"C1orf56"	3.79	4.7	5.03	4.77	3.12	4.92	4.24	4.13	4.57	4.1	0.13	0.0663930319689413	0.105930907889803	0.126747049720682
"C1orf68"	0	0	0	0	0	0	0	0	0	0	0	1	1	0
"C1orf74"	2.22	2.09	1.86	2.2	3.18	1.17	1.83	1.22	2.09	1.85	0.12	0.363071456266915	0.410356268964668	0.0464206713028934
"C1orf87"	0	0.06	0	0.16	0	0	0.14	0.34	0.06	0.12	-0.08	1	1	0
"C1orf94"	0	0	0	0	0	0	0	0	0	0	0	1	1	0
"C1QA"	0	0	0	0	0	0	0	0	0	0	0	1	1	0
"C1QB"	0	0	0	0	0	0	0	0	0	0	0	1	1	0
"C1QBP"	66.16	73.08	68.36	65.75	82.04	84.61	81.91	79.09	68.34	81.91	-0.26	0.00497344252760678	0.0216700976375381	-0.432676174294936
"C1QC"	0	0	0	0	0	0	0	0	0	0	0	1	1	0
"C1QL1"	0.1	0	0.09	0.06	0.14	0.03	0.03	0.15	0.06	0.09	-0.03	1	1	0
"C1QL2"	0	0.06	0	0	0	0	0	0	0.01	0	0.02	1	1	0
"C1QL3"	4.05	0.37	4.4	2.41	3.2	0.18	3.22	1.64	2.81	2.06	0.32	1	1	0
"C1QL4"	0	0	0	0	0	0	0	0.02	0	0.01	-0.01	1	1	0
"C1QTNF1"	1.24	0.75	0.39	0.66	2.2	0.73	0.99	1.05	0.76	1.24	-0.35	0.0842812643156578	0.126220989103954	-0.314603947312027
"C1QTNF12"	3.23	2.43	2.99	3.83	1.93	0.76	1.28	0.54	3.12	1.13	0.95	0.00106035712087163	0.00788821748825615	1.9978700676545
"C1QTNF2"	0.23	0.15	0.12	0.06	0.11	0.21	0.08	0.09	0.14	0.12	0.02	1	1	0
"C1QTNF3"	0.94	0.58	0.95	0.39	0.74	0.59	0.67	1.39	0.72	0.85	-0.11	0.975154135167948	1	0
"C1QTNF3-AMACR"	0.74	0.29	0	1.2	0.24	0.6	0.84	0.78	0.56	0.61	-0.05	0.521513319167612	0.569809610768267	-0.0122135114975065
"C1QTNF4"	0.17	0.28	0.25	0.64	0.21	0.17	0.18	0.2	0.33	0.19	0.17	0.155251511976678	0.201761782173692	0.118177386082908
"C1QTNF5"	0.62	0.03	0.63	0.04	0.16	0.1	0.05	0	0.33	0.08	0.3	1	1	0
"C1QTNF6"	30.57	33.66	22.74	31.58	25.74	17.88	13.44	9.17	29.64	16.56	0.8	0.00214472708204626	0.0124244630154798	1.52457789789565
"C1QTNF7"	0.09	0.02	0.07	0.23	0.05	0.14	0.15	0.22	0.1	0.14	-0.05	0.262884941797953	0.311180390763533	-0.0253493889085893
"C1QTNF8"	0	0	0	0	0	0	0	0	0	0	0	1	1	0
"C1QTNF9"	0.04	0.2	0.24	0.26	0.2	0.26	0.23	0.31	0.19	0.25	-0.08	0.166950834673866	0.21430199025546	-0.053517903646397
"C1QTNF9B"	0.35	0.37	0.67	0.65	0.74	0.12	0.54	0.4	0.51	0.45	0.06	0.579677392137285	0.62870404069249	0.0120932249053308
"C1R"	10.1	10.3	11.52	14.77	5.82	2.74	5.36	8.41	11.67	5.58	0.94	0.00223943405472918	0.0127991882710739	1.77924851822926
"C1RL"	43.07	35.22	39.7	50.36	56.3	57.54	75.49	71.36	42.09	65.17	-0.62	0.000225570613930375	0.00308608336319048	-1.5565672549438
"C1S"	2.7	1.6	2.64	2.49	1.57	0.62	1.93	0.76	2.36	1.22	0.6	0.017735686418147	0.0460334669182619	0.802155789513701
"C2"	9.58	7.38	8.69	5.47	16.78	5.26	9.05	5.96	7.78	9.26	-0.23	1	1	0
"C20orf141"	0	0	0	0	0	0	0	0	0	0	0	1	1	0
"C20orf144"	3.27	4.84	3.77	2.54	2.84	2.27	2.06	0.78	3.61	1.99	0.62	0.0319353095425423	0.0652185089544092	0.735090063322079
"C20orf173"	0	0	0.15	0.05	0	0.11	0	0	0.05	0.03	0.03	1	1	0
"C20orf202"	0.35	0.26	0.07	0.28	0.61	0.48	0.64	0.28	0.24	0.5	-0.28	0.0337740155728709	0.0675309195482381	-0.327739254242989
"C20orf203"	0.4	0.21	0.62	0.27	0.08	0.07	0.39	0.13	0.38	0.17	0.24	0.0285074055055613	0.0609367506175749	0.291628969860407
"C20orf204"	1.09	0.38	2.7	1.37	0.46	0.1	0.42	0.69	1.39	0.42	0.75	0.0335426607061132	0.0672984801609944	0.878996057684321
"C20orf85"	0	0	0	0	0	0	0	0.36	0	0.09	-0.12	1	1	0
"C20orf96"	5.99	5	6.44	7.95	8	6.9	8.43	8.94	6.35	8.07	-0.3	0.0180392870842261	0.0465307493319597	-0.399677986057461
"C21orf140"	1.15	1.35	1.48	2.13	2.5	3.47	3.51	3.38	1.53	3.22	-0.74	0.00122688529449205	0.00867724518765745	-1.52559741677638
"C21orf58"	1.92	1.5	1.5	2.07	2.08	2.62	3.35	2.46	1.75	2.63	-0.4	0.013405878706842	0.0393974585299083	-0.56181271717877
"C21orf62"	0.6	0.4	0.46	0.36	0.47	0.4	0.51	0.42	0.46	0.45	0	0.15195165522179	0.198535741543715	0
"C21orf91"	7.77	5.84	9.54	5.86	13.29	6.9	8.97	6.73	7.25	8.97	-0.27	0.25743292933208	0.305735496722556	-0.138956616605587
"C22orf15"	0	0.18	0.2	0.33	0.29	0.11	0.2	0.18	0.18	0.2	-0.02	1	1	0
"C22orf23"	85.48	92.25	78.07	86.87	93.05	75.67	68.43	60.04	85.67	74.3	0.2	0.0398648689199374	0.0748067166518274	0.22521188129912
"C22orf31"	0	0	0	0	0	0	0	0.05	0	0.01	-0.02	1	1	0
"C22orf39"	16.45	23.8	21.81	18.45	15.33	19.09	19.72	18.08	20.13	18.06	0.15	0.190846847811929	0.238668172348817	0.0933308238864581
"C22orf42"	0.03	0.03	0	0	0	0	0.07	0	0.01	0.02	-0.01	1	1	0
"C2CD2"	17.54	13.79	18.28	17.58	23.15	21.04	26.92	25.91	16.8	24.25	-0.51	0.000209328187512115	0.00298898145123529	-1.2874831578305
"C2CD2L"	6.35	8.5	10.3	9.65	5.51	7.52	6.23	6.01	8.7	6.32	0.41	0.00783131356959612	0.0286739923385102	0.632429852405755
"C2CD3"	13.44	15.55	17.39	15.7	14.83	13.68	13.25	14.12	15.52	13.97	0.14	0.0285430230863124	0.0609798568738026	0.170073903902657
"C2CD4A"	0.32	0.23	0.32	0.14	1.15	0.42	0.51	0.71	0.25	0.7	-0.44	0.00165885175068903	0.010483039926492	-0.870985614450057
"C2CD4B"	0.02	0	0.11	0.12	0.18	0.09	0.15	0.17	0.06	0.15	-0.11	1	1	0
"C2CD4C"	1.18	0.36	0.06	0.39	1.06	0.12	0.07	0.17	0.5	0.35	0.15	0.656345275270005	0.705362278944264	0.0227381653587113
"C2CD4D"	0.89	0.96	0.53	0.11	0.87	1.04	1.04	0.39	0.62	0.83	-0.18	0.172373070734147	0.219903127089805	-0.11839834706306
"C2CD5"	5.82	11.77	13.38	16.63	6.88	18.1	21.29	19.58	11.9	16.46	-0.44	0.0825422721482841	0.12425024393371	-0.398509209985561
"C2CD6"	0.27	0.14	0.25	0.37	0.22	0.01	0.18	0.16	0.26	0.14	0.14	0.162801437221551	0.2099145216025	0.0949140523063435
"C2orf15"	1.93	1.73	2.8	1.87	2.75	3.75	3.95	4.34	2.08	3.7	-0.61	0.00250889691800168	0.0137853974060475	-1.13495423280547
"C2orf16"	0.48	0.34	0.34	0.5	0.52	0.28	0.46	0.45	0.41	0.43	-0.01	1	1	0
"C2orf42"	8.38	10.77	8.27	7.85	7.67	10.01	10.93	9.5	8.82	9.53	-0.1	0.0934327303095263	0.136643420480469	-0.086441127518844
"C2orf49"	19.46	20.97	20.26	19.46	18.74	17.26	16.25	15.18	20.04	16.86	0.24	0.00739950764793543	0.0276666574444123	0.373930393706147
"C2orf50"	0.42	0.41	0.55	0.46	0.46	0.44	0.52	0.49	0.46	0.48	-0.02	0.0794975052402462	0.120853969349242	-0.0183547816195391
"C2orf66"	0.58	1.08	0.71	0.65	0.98	2.66	1.87	1.89	0.75	1.85	-0.7	0.00322023121372279	0.0162358894729569	-1.25266673968601
"C2orf68"	21.42	18.43	22.26	21.69	19.51	23.22	28.43	28.42	20.95	24.89	-0.24	0.0187448653048668	0.0475504489318057	-0.317482890830348
"C2orf69"	8.29	8.04	11.57	9.53	9.56	10.12	9.88	9.41	9.36	9.74	-0.05	0.0582115339859426	0.096364017984699	-0.0508042549997893
"C2orf72"	0.3	0.33	0.04	0.53	0.29	2.02	0.08	0.21	0.3	0.65	-0.34	1	1	0
"C2orf73"	0.15	0.06	0.07	0.15	0.03	0	0.04	0	0.11	0.02	0.12	1	1	0
"C2orf74"	22.96	27.56	22.46	35.89	16.65	20.12	22.73	27.59	27.22	21.77	0.31	0.0281854475518637	0.060568401178018	0.377503705974941
"C2orf76"	16	15.82	20.53	17.45	9.08	16.62	15.79	12.02	17.45	13.38	0.36	0.0363946165041326	0.0706499527956513	0.414319724635183
"C2orf78"	0	0	0	0	0	0	0	0	0	0	0	1	1	0
"C2orf80"	0.87	0.24	0.47	0.53	0.72	0.43	0.76	0.55	0.53	0.62	-0.08	0.270108971919503	0.318489709495165	-0.0397523676236944
"C2orf81"	3.8	2.08	1.87	2.2	3.3	2.43	6.02	3.8	2.49	3.89	-0.49	0.0824130595628792	0.124126758731	-0.444005946653961
"C2orf88"	1.54	1.9	1.56	2.03	2.28	1.32	1.66	1.77	1.76	1.76	0	0.185881542677281	0.23368049953839	0
"C2orf92"	9.68	7.73	7.4	9.18	8.02	11.73	13.56	11.73	8.5	11.26	-0.37	0.0421291997576311	0.0774757161432856	-0.411008728254813
"C3"	583.01	138.39	116.17	148.39	1382.71	279.66	333.58	618.78	246.49	653.69	-1.4	0.0292337917645789	0.0617618625261835	-1.69299146189756
"C3AR1"	0.12	0.26	0.07	0.43	0.03	0.01	0	0.05	0.22	0.02	0.25	1	1	0
"C3orf14"	13.96	14.41	10.07	18.1	15.03	22.7	21.49	30.07	14.13	22.32	-0.62	0.0129381626200905	0.0386455695592713	-0.875998178359794
"C3orf18"	7.43	6.39	6.5	6.5	4.88	5.62	5.88	4.21	6.71	5.15	0.33	0.0117522190886015	0.0364337255562969	0.474703817741641
"C3orf20"	0.03	0.25	0.29	0.14	0.01	0.24	0.09	0.09	0.18	0.11	0.09	1	1	0
"C3orf22"	0	0	0	0	0	0	0	0	0	0	0	1	1	0
"C3orf33"	2.86	3.84	4.05	5.54	2.05	2.8	3.39	2.83	4.07	2.77	0.43	0.0131472682091382	0.0389587819792554	0.606039690690617
"C3orf38"	13.79	14.71	15.36	14.06	14.31	17.69	18.27	15.51	14.48	16.44	-0.17	0.0196037329895056	0.0487678941615018	-0.223017219524489
"C3orf49"	0.36	0.41	0.37	0.07	0.1	0.31	0.54	0.6	0.3	0.39	-0.09	1	1	0
"C3orf52"	24.02	20.43	27.81	22.68	23.93	21.18	29.17	31.68	23.74	26.49	-0.15	0.169254682455583	0.216652929719917	-0.0996353150671915
"C3orf62"	3.17	1.85	2.55	2.85	3.82	4.69	4.28	7.4	2.6	5.05	-0.75	0.00855207227360833	0.0301010062232288	-1.14106423985217
"C3orf70"	0.09	0.09	0.1	0.14	0.06	0.09	0.13	0.11	0.11	0.1	0.01	0.148416557961999	0.194852277444122	0.00710294513783866
"C3orf80"	0	0	0	0	0	0.09	0	0	0	0.02	-0.03	1	1	0
"C3orf84"	0	0	0	0.1	0	0	0	0	0.02	0	0.03	1	1	0
"C3orf85"	0.21	0.14	0.02	0.18	0.16	0.27	0.16	0.17	0.14	0.19	-0.06	0.226474524593719	0.274334472470568	-0.0337031769692311
"C4A"	0.36	1.26	2.06	1.2	0.12	0.49	0.9	0.55	1.22	0.51	0.55	0.0227393418032828	0.0534598828269971	0.699584598604151
"C4B"	0.73	0.28	0.27	0.4	0.62	0.25	0.16	0.46	0.42	0.37	0.05	0.56313289853829	0.611726943044691	0.0106721195456554
"C4BPA"	0	0	0	0	0	0.15	0	0	0	0.04	-0.05	1	1	0
"C4BPB"	0	0	0	0	0	0	0	0	0	0	0	1	1	0
"C4orf17"	0.52	0.25	0.43	0.62	0.19	0.45	0.55	0.28	0.45	0.37	0.09	0.248926354016878	0.297040700318273	0.0474465635879325
"C4orf19"	96.77	83.2	90.7	108.65	104.42	113.67	130.58	134.41	94.83	120.77	-0.35	0.00178859599858591	0.0110588287019061	-0.684701804144405
